search URL:,https://patents.google.com/?q=reflective&q=green&q=sustainable&q=procedure&q=eco&inventor=Paul&country=US&before=priority:20220331&after=priority:20000101&type=PATENT&litigation=YES&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8980816-B2,Fibrous structures comprising particles and methods for making same ,The Procter & Gamble Company,"Andreas Josef Dreher, Mark Robert Sivik, Alyssandrea Hope Hamad-Ebrahimpour, Gregory Charles Gordon, Brian Patrick Croll, Paul Dennis Trokhan, Paul Thomas Weisman",2012-01-04,2013-01-03,2015-03-17,2015-03-17,https://patents.google.com/patent/US8980816B2/en,https://patentimages.storage.googleapis.com/92/9f/51/d10121651c3f1d/US08980816-20150317-D00000.png
US-10993642-B2,Analyte sensor ,"Dexcom, Inc.","Peter C. Simpson, James H. Brauker, Mark C. Brister, Paul V. Goode, Jr., Apurv Ullas Kamath, Aarthi Mahalingam, Jack Pryor, Matthew D. Wightlin",2004-07-13,2020-11-03,2021-05-04,2021-05-04,https://patents.google.com/patent/US10993642B2/en,https://patentimages.storage.googleapis.com/c9/06/19/391632c4a77188/US10993642-20210504-D00000.png
US-10494767-B2,Fibrous structures including an active agent and having a graphic printed thereon ,The Procter & Gamble Company,"Paul Thomas Weisman, Hui Yang, Alrick Vincent Warner, Andreas Josef Dreher, Mark Robert Sivik",2013-12-09,2014-12-03,2019-12-03,2019-12-03,https://patents.google.com/patent/US10494767B2/en,https://patentimages.storage.googleapis.com/99/88/0f/4ed7d01529bc28/US10494767-20191203-D00000.png
US-10076820-B2,Abrasive article having a non-uniform distribution of openings ,"Saint-Gobain Abrasives, Inc., Saint-Gobain Abrasifs","Anuj Seth, Julie M. Dinh-Ngoc, Vivek CHERUVARI KOTTIETH RAMAN, Paul A. Krupa, James M. Garrah",2011-12-31,2017-04-07,2018-09-18,2018-09-18,https://patents.google.com/patent/US10076820B2/en,https://patentimages.storage.googleapis.com/ed/3b/c2/f4eca05ec79e83/US10076820-20180918-D00000.png
US-10888896-B2,Activation method using modifying agent ,The Boeing Company,"Stuart Arthur Bateman, Ranya Simons, Dong Yang Wu, Patrick James McMahon, Alexander Bilyk, Douglas Henry BERRY, Seana B. Kobak, James F. Kirchner, Lori Clarice Straus, Mark Paul Johnson",2005-01-21,2018-01-30,2021-01-12,2021-01-12,https://patents.google.com/patent/US10888896B2/en,https://patentimages.storage.googleapis.com/52/c8/c7/49a7e0fcf42c72/US10888896-20210112-D00001.png
US-9504640-B2,Modified release formulations of a bupropion salt ,Valeant Pharmaceuticals Luxembourg S.Á.R.L.,"Werner Oberegger, Fang Zhou, Paul Maes, Stefano Turchetta, Graham Jackson, Pietro Massardo, Mohammad Ashty Saleh",2005-06-27,2014-09-02,2016-11-29,2016-11-29,https://patents.google.com/patent/US9504640B2/en,https://patentimages.storage.googleapis.com/c0/e7/35/451bdb0514dabd/US09504640-20161129-D00001.png
US-2018134717-A1,Pyrrolobenzodiazepines and conjugates thereof ,Medimmune Limited,"Philip Wilson Howard, Luke Masterson, Arnaud Tiberghien, John A. Flygare, Janet L. Gunzner, Paul Polakis, Andrew Polson, Helga E. Raab, Susan D. Spencer",2010-04-15,2017-10-04,2018-05-17,,https://patents.google.com/patent/US20180134717A1/en,https://patentimages.storage.googleapis.com/0c/c9/6f/e4dcd241c40f74/US20180134717A1-20180517-D00001.png
US-9248140-B2,Chemical compounds ,Astrazeneca Ab,"Robert Bruce DIEBOLD, Thomas Woodrow Gero, Paul Grover, Shan Huang, Stephanos Ioannidis, Claude Afona Ogoe, Jamal Carlos Saeh",2010-08-06,2015-02-18,2016-02-02,2016-02-02,https://patents.google.com/patent/US9248140B2/en,
US-10624963-B2,Multivalent PCV2 immunogenic compositions and methods of producing such compositions ,"Boehringer Ingelheim Vetmedica, Inc.","Michael B. Roof, Phillip Wayne Hayes, Marc Allan Eichmeyer, Gregory Paul Nitzel",2005-12-29,2018-01-31,2020-04-21,2020-04-21,https://patents.google.com/patent/US10624963B2/en,https://patentimages.storage.googleapis.com/9a/b9/e1/dc6f947d468e8c/US10624963-20200421-D00001.png
US-8299056-B2,"Aminotriazolopyridines, compositions thereof, and methods of treatment therewith ","Signal Pharmaceuticals, Llc","Sogole Bahmanyar, R.J. Bates, Kate Blease, Andrew Calabrese, Thomas Daniel, Mercedes Delgado, Jan Elsner, Paul Erdman, Bruce Fahr, Gregory Ferguson, Branden Lee, Lisa Nadolny, Garrick Packard, Patrick Papa, Veronique Plantevin-Krenitsky, Jennifer Riggs, Patricia Rohane, Sabita Sankar, John Sapienza, Yoshitaka Satoh, Victor Sloan, Randall Stevens, Lida Tehrani, Jayashree Tikhe, Eduardo Torres, Andrew Wallace, Brandon Wade Whitefield, Jingjing Zhao",2008-09-08,2009-09-08,2012-10-30,2012-10-30,https://patents.google.com/patent/US8299056B2/en,
